Type of crime,Date of Offend,Off.age,Off.gender,Victim Gender,Victim Age,lat,long
Theft,30-10-2023,38,M,F,25,19.1177772,72.86305349999999
Murder,17-01-2024,33,M,M,41,19.0759837,72.8776559
Vandalising Property in riots,22-01-2024,33,M,M,43,19.2869382,72.86187509999999
Drug-related Offense,03-02-2024,40,M,M,77,19.135085,72.81461
Drug-related Offense,03-02-2024,37,M,M,77,19.135085,72.81461
Drug-related Offense,03-02-2024,33,M,M,68,19.4346892,72.8227272
Drug-related Offense,03-02-2024,33,M,M,25,19.1616321,72.99640629999999
Homicide,22-01-2023,37,M,F,40,18.9924128,72.8547136
Serial Snatching of Gold Chains,28-01-2024,20,M,M,75,19.0038774,72.8533355
Harassment,28-07-2023,33,M,F,77,19.1141602,72.9357502
Arson and Murder,01-04-2014,31,M,F,46,0,0
Sexual Harassment,11-09-2023,33,M,M,34,26.1157854,91.70859089999999
Harassment,01-12-2022,33,M,F,47,19.0698892,72.8373532
Theft,28-02-2023,40,F,F,77,19.2030409,72.8516909
Theft,28-02-2023,33,M,M,23,19.2073181,72.85042589999999
Theft,12-03-2021,25,M,F,45,19.4060877,72.84490140000001
Burglary,14-06-2013,38,M,M,35,19.2474743,72.8470901
Theft,28-01-2022,21,M,M,77,18.9476442,72.8341808
Theft,22-09-2023,41,F,M,53,19.0967928,72.8516953
Theft,23-09-2023,33,M,M,44,19.2812333,73.0482945
Theft,22-12-2023,29,M,M,54,0,0
Theft,22-12-2023,22,M,M,21,0,0
Theft,22-12-2023,24,M,M,51,0,0
Theft,22-12-2023,36,M,M,23,0,0
Theft,22-12-2023,33,M,M,61,0,0
Theft,22-12-2023,31,M,M,19,0,0
Jewellery Store Break-in,25-09-2023,33,M,M,31,18.990527,72.84160500000002
Theft,04-08-2023,35,M,M,58,18.9538638,72.79760329999999
Theft,20-04-2023,33,M,F,34,0,0
Assault and Robbery,05-02-2024,22,M,F,26,19.0552093,72.8307908
Theft,30-01-2024,33,M,M,45,19.0759837,72.8776559
Theft,09-12-2023,33,M,M,44,19.0759837,72.8776559
Theft,02-12-2023,33,M,M,59,19.01799,72.847811
Theft,12-01-2024,33,M,M,46,12.9142185,74.85595959999999
Theft,02-12-2023,47,F,M,71,19.2380683,72.8522512
Suicide in Custody,28-07-2023,33,M,M,57,19.230711,72.8563234
Fraud,02-02-2024,33,M,M,64,19.230711,72.8563234
AI Crime,24-08-2023,33,M,M,18,19.4563697,72.79244969999999
Online Scam,02-01-2023,33,M,M,43,19.4498753,72.79982269999999
Drug Trafficking,03-12-2023,33,M,M,31,19.2952325,72.8543897
Suspicious Death,03-04-2023,33,M,M,52,19.3963028,72.8595443
Theft,04-11-2023,33,M,M,41,0,0
False Alarm,24-03-2023,33,M,F,20,19.4664987,72.82759
Deceptive Currency Exchange Scam,04-10-2023,33,M,M,64,19.4549356,72.81027329999999
Theft,25-02-2024,33,M,M,44,20.5936708,78.96291939999999
Theft,19-02-2024,33,M,M,55,28.7041304,77.10250789999999
Theft,11-02-2024,33,M,M,52,19.2183307,72.9780897
Murder,14-02-2024,33,F,M,79,12.9715987,77.5945627
Murder,02-02-2024,33,M,M,48,18.5204281,73.8567143
Murder,01-02-2024,33,M,F,11,22.572646,88.36389500000001
Theft,19-07-2023,30,M,M,42,18.5204281,73.8567143
Theft,13-07-2023,33,M,F,20,18.9466914,72.8312419
Theft,03-06-2013,33,M,F,29,19.1075424,72.8263142
Murder,26-05-2023,33,M,M,29,19.2297814,72.86085589999999
Theft,17-02-2023,63,M,M,58,19.0759837,72.8776559
Employment-related event,27-02-2023,33,M,M,63,19.0759837,72.8776559
